Инд.№;Кличка;Пол;Дата рождения;Бирка;Порода;Стадо;Кровность, %;Возрастная группа;Состояние;Примечание;Отец, инд.№;Отец, кличка;Мать, инд.№;Мать, кличка;Удой, кг;Жир, %;Белок, %;Жир, кг;Белок, кг;ИПЦ;Упитанность (BCS);Ширина задней доли вымени;Дата последней обрезки копыт;Рогатость;Толщина сосков
312400901000;Ромашка;Ж;2021-01-03;4900;Голштинская;;93,75;cow3;alive;;;;;;6800;3,6;3,0;244,8;204,0;;2,5;3;02.01.2025;да;2,0
312400901001;Зорька;Ж;2021-02-04;4901;Голштинская;;87,5;firstCalf;alive;;;;;;6937;3,69;3,06;256,0;212,3;;2,75;4;03.02.2025;нет;2,3
312400901002;Веста;Ж;2021-03-05;4902;Голштинская;;87,5;cow3;alive;;;;;;7074;3,78;3,12;267,4;220,7;;3,0;5;04.03.2025;комолая;2,6
312400901003;Малина;Ж;2021-04-06;4903;Голштинская;;93,75;firstCalf;alive;;;;;;7211;3,87;3,18;279,1;229,3;;3,25;6;05.04.2025;да;2,9
312400901004;Сойка;Ж;2021-05-07;4904;Голштинская;;87,5;cow3;alive;;;;;;7348;3,96;3,24;291,0;238,1;;3,5;7;06.05.2025;нет;2,0
312400901005;Ласка;Ж;2021-06-08;4905;Голштинская;;87,5;firstCalf;alive;;;;;;7485;4,05;3,0;303,1;224,6;;2,5;8;07.06.2025;комолая;2,3
312400901006;Берёза;Ж;2021-07-09;4906;Голштинская;;93,75;cow3;alive;;;;;;7622;4,14;3,06;315,6;233,2;;2,75;9;08.07.2025;да;2,6
312400901007;Ягодка;Ж;2021-08-10;4907;Голштинская;;87,5;firstCalf;alive;;;;;;7759;3,6;3,12;279,3;242,1;;3,0;3;09.08.2025;нет;2,9
312400901008;Стрелка;Ж;2021-09-11;4908;Голштинская;;87,5;cow3;alive;;;;;;7896;3,69;3,18;291,4;251,1;;3,25;4;10.09.2025;комолая;2,0
312400901009;Пуговка;Ж;2021-10-12;4909;Голштинская;;93,75;firstCalf;alive;;;;;;8033;3,78;3,24;303,6;260,3;;3,5;5;11.10.2025;да;2,3
312400901010;Забава;Ж;2021-11-13;4910;Голштинская;;87,5;cow3;alive;;;;;;8170;3,87;3,0;316,2;245,1;;2,5;6;12.11.2025;нет;2,6
312400901011;Калина;Ж;2021-12-14;4911;Голштинская;;87,5;firstCalf;alive;;;;;;8307;3,96;3,06;329,0;254,2;;2,75;7;13.12.2025;комолая;2,9
312400901012;Смородина;Ж;2021-01-15;4912;Голштинская;;93,75;cow3;alive;;;;;;8444;4,05;3,12;342,0;263,5;;3,0;8;14.01.2025;да;2,0
312400901013;Умница;Ж;2021-02-16;4913;Голштинская;;87,5;firstCalf;alive;;;;;;8581;4,14;3,18;355,3;272,9;;3,25;9;15.02.2025;нет;2,3
312400901014;Голубка;Ж;2021-03-17;4914;Голштинская;;87,5;cow3;alive;;;;;;8718;3,6;3,24;313,8;282,5;;3,5;3;16.03.2025;комолая;2,6
312400901015;Рябина;Ж;2021-04-18;4915;Голштинская;;93,75;firstCalf;alive;;;;;;8855;3,69;3,0;326,7;265,6;;2,5;4;17.04.2025;да;2,9
312400901016;Тайга;Ж;2021-05-19;4916;Голштинская;;87,5;cow3;alive;;;;;;8992;3,78;3,06;339,9;275,2;;2,75;5;18.05.2025;нет;2,0
312400901017;Верба;Ж;2021-06-20;4917;Голштинская;;87,5;firstCalf;alive;;;;;;9129;3,87;3,12;353,3;284,8;;3,0;6;19.06.2025;комолая;2,3
312400901018;Дымка;Ж;2021-07-21;4918;Голштинская;;93,75;cow3;alive;;;;;;9266;3,96;3,18;366,9;294,7;;3,25;7;20.07.2025;да;2,6
312400901019;Стужа;Ж;2021-08-22;4919;Голштинская;;87,5;firstCalf;alive;;;;;;9403;4,05;3,24;380,8;304,7;;3,5;8;21.08.2025;нет;2,9
